dataset,method,model,n_runs,score_mean,score_std,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,retention_mean,retention_std,agreement_mean,agreement_std,out_dim_mean,out_dim_std,distance_corr_mean,distance_corr_std,rank_match_mean,rank_match_std,corr_gap_mean,corr_gap_std,z_offdiag_corr_mean,z_offdiag_corr_std,recon_r2_mean,recon_r2_std,worst_attr_r2_mean,worst_attr_r2_std,sensitive_attr_r2_mean,sensitive_attr_r2_std,n_pairs_r2_0.5_mean,n_pairs_r2_0.5_std,spearman_leak_mean,spearman_leak_std,semantic_acc_mean,semantic_acc_std,kind_acc_mean,kind_acc_std,membership_auc_mean,membership_auc_std,linkage_mean,linkage_std,sensitive_hit_mean,sensitive_hit_std,known_pair_robustness,task,family
california_housing,typed_keyed,linear,2,0.5892824268046855,0.018456169601394977,0.5892824268046855,0.018456169601394977,0.7533178616506551,0.053163638313117066,0.5580855129978887,0.020228691471360905,,,,,0.9641797378744468,0.002091931655551046,0.8954059464324841,0.036145928123531554,8.0,0.0,0.24922519177698882,0.034711000698662654,1.0,0.0,0.3644499726465395,0.016081395135467563,0.13141363685120333,0.00151522686007843,0.4893373247209565,0.25640598133934,0.9124972376338245,0.0012896406123020449,0.9124972376338245,0.0012896406123020449,17.5,10.606601717798213,1.0,0.0,0.0,0.0,1.0,0.0,0.5432124754743396,0.028826169619334655,,,0.3333333333333333,0.0,partial_recovery_with_enough_pairs,regression,typed
california_housing,typed_keyed,hgb,2,0.7886191640199509,0.017057238634248243,0.7886191640199509,0.017057238634248243,0.5405107361264898,0.04779794408731933,0.3605706170520988,0.02222733286562889,,,,,0.9999977026238531,3.249000577709831e-06,0.9999999581970019,5.911836680870897e-08,8.0,0.0,0.24922519177698882,0.034711000698662654,1.0,0.0,0.3644499726465395,0.016081395135467563,0.13141363685120333,0.00151522686007843,0.4893373247209565,0.25640598133934,0.9124972376338245,0.0012896406123020449,0.9124972376338245,0.0012896406123020449,17.5,10.606601717798213,1.0,0.0,0.0,0.0,1.0,0.0,0.5432124754743396,0.028826169619334655,,,0.3333333333333333,0.0,partial_recovery_with_enough_pairs,regression,typed
california_housing,typed_keyed,mlp,2,0.717930734604696,0.02692501536052973,0.717930734604696,0.02692501536052973,0.6243899573568734,0.059822124698596914,0.443285830877421,0.03195404972033381,,,,,1.1297999740683973,0.189912934689579,0.9166127203086714,0.028008387832997386,8.0,0.0,0.24922519177698882,0.034711000698662654,1.0,0.0,0.3644499726465395,0.016081395135467563,0.13141363685120333,0.00151522686007843,0.4893373247209565,0.25640598133934,0.9124972376338245,0.0012896406123020449,0.9124972376338245,0.0012896406123020449,17.5,10.606601717798213,1.0,0.0,0.0,0.0,1.0,0.0,0.5432124754743396,0.028826169619334655,,,0.3333333333333333,0.0,partial_recovery_with_enough_pairs,regression,typed
california_housing,typed_keyed,knn,2,0.6660896548345848,0.016486269608093542,0.6660896548345848,0.016486269608093542,0.679255850103304,0.049441597375182195,0.48967029185185185,0.02742669319080452,,,,,1.0366807936636904,0.06743591094159387,0.8963912405965453,0.04613207531786383,8.0,0.0,0.24922519177698882,0.034711000698662654,1.0,0.0,0.3644499726465395,0.016081395135467563,0.13141363685120333,0.00151522686007843,0.4893373247209565,0.25640598133934,0.9124972376338245,0.0012896406123020449,0.9124972376338245,0.0012896406123020449,17.5,10.606601717798213,1.0,0.0,0.0,0.0,1.0,0.0,0.5432124754743396,0.028826169619334655,,,0.3333333333333333,0.0,partial_recovery_with_enough_pairs,regression,typed
california_housing,bn_adv,linear,2,0.7203642403197346,0.032629899651839656,0.7203642403197346,0.032629899651839656,0.6216742702887925,0.06616507516514959,0.43469247646798803,0.0442990763717878,,,,,1.178414651799651,0.01903844348028962,0.9271357109942563,0.013650334957729484,5.0,0.0,-0.027028260076219533,0.020481741090264554,0.3725828931312004,0.03316299857735034,0.7213692542949341,0.038275105340210135,0.638374384719167,0.007203843276481808,0.20867525804804266,0.18741690849371428,0.8099908489066656,0.06010701681340314,0.8099908489066656,0.06010701681340314,,,0.7917882989912428,0.006573956373497153,,,,,0.5369780531422561,0.01529138157928203,,,,,resistant_in_tested_budget,regression,learned
california_housing,bn_adv,hgb,2,0.7234439231706835,0.03075588556832569,0.7234439231706835,0.03075588556832569,0.6182490568163327,0.06410584077390366,0.4248345521738853,0.04169943610378827,,,,,0.9171458680626986,0.019159423453246165,0.9406270065424248,0.01497837637407643,5.0,0.0,-0.027028260076219533,0.020481741090264554,0.3725828931312004,0.03316299857735034,0.7213692542949341,0.038275105340210135,0.638374384719167,0.007203843276481808,0.20867525804804266,0.18741690849371428,0.8099908489066656,0.06010701681340314,0.8099908489066656,0.06010701681340314,,,0.7917882989912428,0.006573956373497153,,,,,0.5369780531422561,0.01529138157928203,,,,,resistant_in_tested_budget,regression,learned
california_housing,bn_adv,mlp,2,0.7193711688974413,0.0371208316147021,0.7193711688974413,0.0371208316147021,0.6227425558663171,0.07114127150924014,0.43096940760707575,0.04400123872697501,,,,,1.1331096193442471,0.20621489423709277,0.9290753569569468,0.05271425548952695,5.0,0.0,-0.027028260076219533,0.020481741090264554,0.3725828931312004,0.03316299857735034,0.7213692542949341,0.038275105340210135,0.638374384719167,0.007203843276481808,0.20867525804804266,0.18741690849371428,0.8099908489066656,0.06010701681340314,0.8099908489066656,0.06010701681340314,,,0.7917882989912428,0.006573956373497153,,,,,0.5369780531422561,0.01529138157928203,,,,,resistant_in_tested_budget,regression,learned
california_housing,bn_adv,knn,2,0.7105974849479122,0.03505873606103938,0.7105974849479122,0.03505873606103938,0.6324295470283904,0.06872021159387648,0.4310683655555556,0.038332874052913773,,,,,1.1047301044344784,0.04472062959594437,0.9158065763754684,0.013752442502745148,5.0,0.0,-0.027028260076219533,0.020481741090264554,0.3725828931312004,0.03316299857735034,0.7213692542949341,0.038275105340210135,0.638374384719167,0.007203843276481808,0.20867525804804266,0.18741690849371428,0.8099908489066656,0.06010701681340314,0.8099908489066656,0.06010701681340314,,,0.7917882989912428,0.006573956373497153,,,,,0.5369780531422561,0.01529138157928203,,,,,resistant_in_tested_budget,regression,learned
california_housing,bn_noisy,linear,2,0.7124937370662909,0.04337452300572525,0.7124937370662909,0.04337452300572525,0.6302601263474363,0.07787502015036313,0.4402199890059669,0.04422708509120082,,,,,1.1652747496672724,0.03700231844888355,0.9246445139381055,0.012120992438094341,5.0,0.0,-0.029949211576799258,0.016765551239702227,0.3712830109336741,0.06475803368465041,0.6191906353890719,0.08329093297409826,0.5302794819116669,0.0657487396414256,0.0344118259405439,0.23835648706094278,0.6783594040464239,0.00816455389431488,0.6783594040464239,0.00816455389431488,,,0.8258145920865761,0.003124332721284336,,,,,0.5174075286560744,0.016481264781710914,,,,,resistant_in_tested_budget,regression,learned
california_housing,bn_noisy,hgb,2,0.701130691281244,0.039447704186339416,0.701130691281244,0.039447704186339416,0.642663487490724,0.07332441840156993,0.43846088849930465,0.03259513533381424,,,,,0.8887260202767143,0.030795756539798793,0.9332593680783866,0.01952230615869114,5.0,0.0,-0.029949211576799258,0.016765551239702227,0.3712830109336741,0.06475803368465041,0.6191906353890719,0.08329093297409826,0.5302794819116669,0.0657487396414256,0.0344118259405439,0.23835648706094278,0.6783594040464239,0.00816455389431488,0.6783594040464239,0.00816455389431488,,,0.8258145920865761,0.003124332721284336,,,,,0.5174075286560744,0.016481264781710914,,,,,resistant_in_tested_budget,regression,learned
