dataset,dataset_kind,dataset_n,dataset_d,method,seed,out_dim,r2,rmse,mae,train_time_s,infer_time_s,r2_raw,rmse_raw,mae_raw,r2_retention,delta_r2,rmse_ratio,mae_ratio,distance_preservation,semantic_unpaired_acc,semantic_paired_acc,semantic_max_abs_corr,recon_r2_knownpair_ridge,worst_attr_knownpair_ridge,known_pair_robustness,z_mean_abs_skew,z_offdiag_corr_mean_abs,aux_random_rot_r2,aux_ica_r2,neural_best_r2,neural_best_worst_attr
openml_superconduct,real,21263,81,gw_q64,2,81,0.8970156765761572,10.93064767061114,7.180354476741399,2.0097090460001255,0.008000745999879655,0.917205954723013,9.8007629937983,5.9664387943885036,0.9779871924698166,-0.02019027814685581,1.1152853790595494,1.2034573259168593,0.3914759078763492,0.0,1.0,0.6662254263285368,0.9365203229727485,0.9823027132355527,collapses_with_enough_pairs,0.44525514226241975,0.005719874575258381,-0.9805879413000017,-7.296539232634915,,
openml_superconduct,real,21263,81,gw_q16_rot,2,81,0.8788171459016217,11.857166658965832,7.989365742807445,1.993182121000018,0.009711454000125741,0.917205954723013,9.8007629937983,5.9664387943885036,0.9581459228173194,-0.038388808821391285,1.2098207727774641,1.3390509847049006,0.3902891327078377,0.024691358024691357,0.0,0.38523493164088346,0.9150287630268114,0.9594207449531686,collapses_with_enough_pairs,0.17266725699560784,0.011810157169102053,-1.0311293214760084,-7.315139658618627,,
openml_superconduct,real,21263,81,gw_q16_p90_rot,2,73,0.866588159575956,12.44106397757308,8.359202229821541,2.507368257999815,0.008440693000011379,0.917205954723013,9.8007629937983,5.9664387943885036,0.9448130543784541,-0.050617795147057,1.2693974933834746,1.401037120783583,0.3821584614878121,0.0273972602739726,0.0273972602739726,0.39306987398646753,0.8146206580945536,0.9133166712396199,partial_recovery_with_enough_pairs,0.1629327503087534,0.011811014174306593,-0.9907670669342924,-7.295584473107556,,
openml_superconduct,real,21263,81,gw_q16_p80_rot,2,65,0.8580865551209043,12.831342780092,8.688276233570202,1.9302244370001063,0.008303095999963261,0.917205954723013,9.8007629937983,5.9664387943885036,0.9355440298902526,-0.05911939960210877,1.3092187606425523,1.4561912948376532,0.38363685828384536,0.03076923076923077,0.015384615384615385,0.34487561626240704,0.700140672929845,0.8343891550492589,partial_recovery_with_enough_pairs,0.1835310743603129,0.011527453636034286,-0.9647702888743107,-7.298122068421393,,
openml_superconduct,real,21263,81,gw_q16_p70_rot,2,57,0.8564957034234801,12.903062112373117,8.777672125576201,1.9320456089999425,0.007998104000080275,0.917205954723013,9.8007629937983,5.9664387943885036,0.93380957571534,-0.06071025129953289,1.3165364901220327,1.4711744187892601,0.376391443691301,0.07017543859649122,0.0,0.3907302293434199,0.6302741816047139,0.752339116931974,partial_recovery_with_enough_pairs,0.18035585863757828,0.011704274647291325,-1.0087609683751184,-7.3098550779475024,,
openml_superconduct,real,21263,81,gw_q16_p50_rot,2,40,0.8358446250822668,13.800279725222353,9.466862773196912,2.209779921000063,0.008205923999867082,0.917205954723013,9.8007629937983,5.9664387943885036,0.9112943726304998,-0.08136132964074627,1.4080821803317616,1.5866856427154825,0.352223777115184,0.0,0.0,0.36073245132458154,0.4189874464200747,0.5956220606214706,resistant_in_tested_budget,0.1582313732290604,0.011455876912735806,-0.9944878659552843,-7.310230175275404,,
openml_superconduct,real,21263,81,bn50,2,40,0.9038706736593738,10.560592507348797,6.302576587731513,1.9520606749999843,0.007187918999989051,0.917205954723013,9.8007629937983,5.9664387943885036,0.9854609741738252,-0.013335281063639237,1.077527587804266,1.0563380946200522,0.24979984253697401,0.025,0.0,0.8126439912956325,0.8027884288274105,0.9213261020119567,partial_recovery_with_enough_pairs,0.3830599971545036,0.6786384413195046,-0.9517308260721228,-7.303714515014757,,
openml_superconduct,real,21263,81,bn50_rot,2,40,0.9081311687008454,10.32391526970694,6.1615472781658855,2.1973457340000095,0.007231053000168686,0.917205954723013,9.8007629937983,5.9664387943885036,0.9901060541796111,-0.009074786022167602,1.053378729415218,1.032700994764395,0.24979984253697401,0.0,0.025,0.7514547931855463,0.8027884288274107,0.9213261020119567,partial_recovery_with_enough_pairs,0.4702643976314249,0.4106496453957485,-0.9929893196498552,-7.284405699808154,,
openml_superconduct,real,21263,81,bn50_q16_rot,2,40,0.8998710187540426,10.778051005835483,6.496617314807705,2.189148925999916,0.007337891999895874,0.917205954723013,9.8007629937983,5.9664387943885036,0.9811002797357488,-0.0173349359689704,1.0997155030333443,1.0888601289127176,0.24384230627561582,0.0,0.025,0.7388240978103393,0.741204173650774,0.8912790374408691,partial_recovery_with_enough_pairs,0.43977765743396285,0.3984726888329777,-0.9916191078325083,-7.287253514872048,,
openml_superconduct,real,21263,81,bn50_adv_rot,2,40,0.9114087705420462,10.138079678634737,6.145207392126808,2.2055135580001206,0.007830186000091999,0.917205954723013,9.8007629937983,5.9664387943885036,0.993679517505185,-0.005797184180966863,1.0344173902633789,1.0299623617871416,0.30170910095715003,0.025,0.0,0.8103682671491563,0.7489032802830976,0.9304989311535352,partial_recovery_with_enough_pairs,0.4226783935721027,0.42918740558891844,-0.9356711888420115,-7.2573258031714225,,
banking_d80,synthetic,18000,80,raw,0,80,0.9701286708251531,0.4938705997940746,0.37855388469198165,2.1813526210000873,0.0066356469999391265,0.9701286708251531,0.4938705997940746,0.37855388469198165,1.0,0.0,1.0,1.0,0.9999999999999999,0.15,1.0,1.0,0.9996618263428779,0.9999828163494353,collapses_with_enough_pairs,0.8148787935470694,0.39348785313488394,-0.9097881893899519,-0.8528767840940441,0.9874502601381355,0.9942182651715533
banking_d80,synthetic,18000,80,gauss,0,80,0.9701286708251531,0.4938705997940746,0.37855388469198165,2.089386756000067,0.006586901000218859,0.9701286708251531,0.4938705997940746,0.37855388469198165,1.0,0.0,1.0,1.0,0.8580101762786749,0.0,1.0,0.9998019744048656,0.9229758592267447,0.999842368579702,collapses_with_enough_pairs,0.0023195161609345545,0.3907261371070718,-0.9445834347009461,-0.9377584876251583,,
banking_d80,synthetic,18000,80,gauss_white,0,80,0.875161723304303,1.0096242700721523,0.778941562819925,1.9695433480001157,0.007339366999985941,0.9701286708251531,0.4938705997940746,0.37855388469198165,0.9021089156760258,-0.09496694752085011,2.0443093200792424,2.0576768442192246,0.5628703384848311,0.0,1.0,0.5788689858302216,0.9225159368171258,0.999893081378425,collapses_with_enough_pairs,0.615345735913823,6.129925256226568e-07,-0.9856935253201844,-0.9224157256772203,,
banking_d80,synthetic,18000,80,gauss_white_rot,0,80,0.8104056296644098,1.2442241260667395,0.9430375218386224,2.3609665460000997,0.007677956999941671,0.9701286708251531,0.4938705997940746,0.37855388469198165,0.8353589106639955,-0.15972304116074332,2.5193322432749268,2.4911579565639506,0.5628703384848313,0.0,0.025,0.38875058720550665,0.9225159368171258,0.9998930813784251,collapses_with_enough_pairs,0.07151104196516281,2.1222069513519313e-06,-0.9718076568292091,-0.9135204171742657,0.9728780169068223,0.9839827780796222
banking_d80,synthetic,18000,80,gw_q8,0,80,0.8350885358465697,1.1604096272341191,0.8894631772703251,2.1303919839999708,0.007328721000021687,0.9701286708251531,0.4938705997940746,0.37855388469198165,0.8608018306852806,-0.13504013497858336,2.3496228115582625,2.349634261431647,0.5396946956954467,0.0,1.0,0.5762200515238484,0.8088361615824458,0.8673672988020361,partial_recovery_with_enough_pairs,0.3397861200843971,0.004834410180123277,-0.9861562568335941,-0.8935744927065364,,
banking_d80,synthetic,18000,80,gw_q16,0,80,0.8711212240329039,1.025832846556475,0.7929854692062623,2.011696497999992,0.007315537999829758,0.9701286708251531,0.4938705997940746,0.37855388469198165,0.8979440049864341,-0.09900744679224915,2.0771288005080857,2.0947756746744037,0.5611806058693178,0.0125,1.0,0.5907884520994796,0.8861155702613509,0.9535633849896474,partial_recovery_with_enough_pairs,0.38101845007099067,0.003199362763159638,-0.9854555123467433,-0.9037138841045167,,
banking_d80,synthetic,18000,80,gw_q32,0,80,0.8770135150351847,1.0021081497387498,0.759233127303873,2.0212527450000835,0.00849483899992265,0.9701286708251531,0.4938705997940746,0.37855388469198165,0.9040177261117658,-0.09311515578996843,2.0290905151199343,2.0056144131809375,0.5642519301453599,0.0125,1.0,0.5948349017335844,0.9037521548015326,0.9743148817711964,collapses_with_enough_pairs,0.3991332219405407,0.0027588501706174735,-0.9846509110073279,-0.8992615866750896,,
banking_d80,synthetic,18000,80,gw_q64,0,80,0.8805888733105831,0.9874345011995302,0.7576558138704182,2.2734058569999434,0.007448640000120577,0.9701286708251531,0.4938705997940746,0.37855388469198165,0.907703173602311,-0.08953979751456997,1.999378990389898,2.0014477317724553,0.5644897771949349,0.0125,1.0,0.5957503613354871,0.9082477533651556,0.9798535067963212,collapses_with_enough_pairs,0.40592964024032263,0.002609924473781048,-0.9842185675870851,-0.9063785150830046,,
banking_d80,synthetic,18000,80,gw_q16_rot,0,80,0.7856419531808827,1.322987665101441,1.0028401461102028,2.0883152470000823,0.007485807999955796,0.9701286708251531,0.4938705997940746,0.37855388469198165,0.8098327333348954,-0.18448671764427038,2.6788143810404526,2.6491344737518276,0.5611806058693181,0.0,0.0125,0.3793195405470665,0.8861155702613509,0.9535633849896474,partial_recovery_with_enough_pairs,0.05238377875196276,0.007523202079484075,-0.972527339800622,-0.9130728711697602,0.9382323910854996,0.9570714522234032
banking_d80,synthetic,18000,80,gw_q16_p90_rot,0,72,0.746963177308707,1.4374004029642924,1.102372056702322,1.9292974449999747,0.0076796460000423394,0.9701286708251531,0.4938705997940746,0.37855388469198165,0.7699629953966515,-0.2231654935164461,2.9104797968610283,2.912061139193672,0.553409279654992,0.0,0.0,0.3608896945502465,0.7996797746125155,0.8937009622023219,partial_recovery_with_enough_pairs,0.05136283042095455,0.007469801878659325,-1.0216702171138832,-0.9053819728948878,,
