dataset,Method,Model,Dimensions,Raw R2,Transformed R2,R2 Retention,dR2,Raw RMSE,Transformed RMSE,RMSE Ratio,Reconstruction R2 (known-pair ridge),Worst Attribute Leakage,Known-Pair Robustness
openml_superconduct,bn50_adv_rot,HistGradientBoostingRegressor,40.0,0.9129174043181,0.9039074648645404,0.9901225612555974,-0.0090099394535596,10.091453626126029,10.59854783510214,1.0500417809870128,0.7268715827349473,0.9014508928369106,partial_recovery_with_enough_pairs
banking_d80,raw,HistGradientBoostingRegressor,80.0,0.9723329793073962,0.9723329793073962,1.0,0.0,0.4863297475779424,0.4863297475779424,1.0,0.999666492421014,0.9999843000949714,collapses_with_enough_pairs
banking_d80,gauss,HistGradientBoostingRegressor,80.0,0.9723329793073962,0.9723329793073962,1.0,0.0,0.4863297475779424,0.4863297475779424,1.0,0.923367278614626,0.9998256842015234,collapses_with_enough_pairs
banking_d80,gauss_white,HistGradientBoostingRegressor,80.0,0.9723329793073962,0.8779318705166984,0.9029126596051972,-0.0944011087906977,0.4863297475779424,1.0227191671596454,2.1043662677683286,0.922888851276629,0.9998770102128484,collapses_with_enough_pairs
banking_d80,gauss_white_rot,HistGradientBoostingRegressor,80.0,0.9723329793073962,0.8088878191913285,0.831902881190684,-0.1634451601160677,0.4863297475779424,1.2797789554726566,2.633111182834897,0.922888851276629,0.9998770102128484,collapses_with_enough_pairs
banking_d80,gw_q8,HistGradientBoostingRegressor,80.0,0.9723329793073962,0.8433397200114986,0.8673283020879853,-0.1289932592958976,0.4863297475779424,1.1582062695437492,2.38275235114391,0.8123378001519653,0.8715786149941556,partial_recovery_with_enough_pairs
banking_d80,gw_q16,HistGradientBoostingRegressor,80.0,0.9723329793073962,0.8734435620655093,0.8982941525362741,-0.0988894172418868,0.4863297475779424,1.041279197371525,2.142241054910919,0.8873113634262689,0.9529614196245172,partial_recovery_with_enough_pairs
banking_d80,gw_q32,HistGradientBoostingRegressor,80.0,0.9723329793073962,0.8800289103615232,0.905069264249454,-0.0923040689458729,0.4863297475779424,1.0138782140188478,2.086173796888382,0.9046193450753668,0.9721908501977076,collapses_with_enough_pairs
banking_d80,gw_q64,HistGradientBoostingRegressor,80.0,0.9723329793073962,0.8817754804183822,0.9068688886473149,-0.090557498889014,0.4863297475779424,1.0066193568566233,2.071508043483814,0.9092797331108456,0.9778616609514508,collapses_with_enough_pairs
banking_d80,gw_q16_rot,HistGradientBoostingRegressor,80.0,0.9723329793073962,0.7904167976624902,0.8128968049683811,-0.181916181644906,0.4863297475779424,1.3398488952981829,2.756236772721106,0.8873113634262689,0.9529614196245172,partial_recovery_with_enough_pairs
